('Total Revenue', '293,812,000', '281,724,000', '245,122,000', '211,915,000', '198,270,000')
         954187 function calls (928762 primitive calls) in 4.723 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      119    0.000    0.000    0.000    0.000 ssl.py:124(<lambda>)
      119    0.000    0.000    0.000    0.000 ssl.py:129(<lambda>)
      119    0.000    0.000    0.000    0.000 ssl.py:134(<lambda>)
      119    0.000    0.000    0.000    0.000 ssl.py:139(<lambda>)
      119    0.000    0.000    0.000    0.000 ssl.py:144(<lambda>)
      119    0.000    0.000    0.000    0.000 ssl.py:149(<lambda>)
      118    0.000    0.000    0.001    0.000 typing.py:667(__init__)
  118/100    0.000    0.000    0.000    0.000 typing.py:746(__hash__)
      114    0.000    0.000    0.002    0.000 typing.py:729(__init__)
      109    0.000    0.000    0.000    0.000 {method 'isascii' of 'str' objects}
      107    0.000    0.000    0.000    0.000 constant.py:398(<lambda>)
      105    0.000    0.000    0.000    0.000 {method 'find' of 'str' objects}
      105    0.000    0.000    0.000    0.000 {method 'isdigit' of 'str' objects}
      104    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
      101    0.000    0.000    0.000    0.000 {built-in method sys.intern}
      100    0.000    0.000    0.000    0.000 typing.py:827(<genexpr>)
       99    0.000    0.000    0.001    0.000 enum.py:971(__or__)
       98    0.000    0.000    0.000    0.000 {built-in method builtins.all}
       98    0.000    0.000    0.000    0.000 enum.py:438(<genexpr>)
       98    0.000    0.000    0.000    0.000 typing_extensions.py:3143(_has_generic_or_protocol_as_origin)
       98    0.000    0.000    0.001    0.000 typing_extensions.py:3178(_collect_type_vars)
       97    0.000    0.000    0.000    0.000 enum.py:551(<lambda>)
       96    0.000    0.000    0.000    0.000 {built-in method builtins.abs}
    95/56    0.000    0.000    0.115    0.002 <frozen importlib._bootstrap>:1033(_handle_fromlist)
       94    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
       94    0.000    0.000    0.000    0.000 ipaddress.py:576(__int__)
       92    0.000    0.000    0.000    0.000 {method 'items' of 'mappingproxy' objects}
       89    0.000    0.000    0.000    0.000 {method '__contains__' of 'frozenset' objects}
       89    0.000    0.000    0.000    0.000 __init__.py:419(<genexpr>)
       88    0.000    0.000    0.000    0.000 typing.py:918(__eq__)
       88    0.000    0.000    0.000    0.000 six.py:142(__init__)
       86    0.000    0.000    0.000    0.000 css_parser.py:812(parse_combinator)
       85    0.000    0.000    0.000    0.000 {built-in method builtins.callable}
       82    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
       80    0.000    0.000    0.000    0.000 ipaddress.py:1201(_parse_octet)
       79    0.000    0.000    0.003    0.000 css_parser.py:472(parse_attribute_selector)
       79    0.000    0.000    0.000    0.000 css_types.py:267(__init__)
       78    0.000    0.000    0.000    0.000 structures.py:46(__setitem__)
       75    0.000    0.000    0.000    0.000 {built-in method _sre.ascii_iscased}
       75    0.000    0.000    0.000    0.000 css_parser.py:542(parse_tag_pattern)
       75    0.000    0.000    0.000    0.000 css_types.py:251(__init__)
       75    0.000    0.000    0.001    0.000 _htmlparser.py:127(handle_startendtag)
       74    0.000    0.000    0.000    0.000 parse.py:437(urlsplit)
    71/19    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
       71    0.000    0.000    2.508    0.035 {method 'readline' of '_io.BufferedReader' objects}
    71/19    0.000    0.000    0.000    0.000 abc.py:121(__subclasscheck__)
    71/48    0.000    0.000    0.002    0.000 typing.py:350(__getitem__)
       70    0.000    0.000    0.000    0.000 sre_parse.py:267(getuntil)
       69    0.000    0.000    0.000    0.000 structures.py:51(__getitem__)
       69    0.000    0.000    0.000    0.000 status_codes.py:122(<genexpr>)
       68    0.000    0.000    0.000    0.000 status_codes.py:116(doc)
       66    0.000    0.000    0.000    0.000 utils.py:52(_has_surrogates)
