('Total Revenue', '293,812,000', '281,724,000', '245,122,000', '211,915,000', '198,270,000')
         868114 function calls (847119 primitive calls) in 8.743 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      234    0.000    0.000    0.000    0.000 enum.py:12(_is_descriptor)
        4    0.000    0.000    0.000    0.000 socket.py:220(__init__)
        2    0.000    0.000    0.000    0.000 {method '_wrap_socket' of '_ssl._SSLContext' objects}
      953    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
      295    0.000    0.000    0.000    0.000 sre_compile.py:453(_get_iscased)
        1    0.000    0.000    0.000    0.000 random.py:101(Random)
        1    0.000    0.000    0.000    0.000 datetime.py:793(date)
      164    0.000    0.000    0.000    0.000 sre_parse.py:76(__init__)
       44    0.000    0.000    0.000    0.000 enum.py:582(_find_data_type)
    44/32    0.000    0.000    0.007    0.000 css_parser.py:579(parse_pseudo_class)
      386    0.000    0.000    0.000    0.000 {method 'find' of 'str' objects}
        2    0.000    0.000    1.375    0.688 client.py:309(begin)
      161    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:398(parent)
      165    0.000    0.000    0.000    0.000 {method 'rindex' of 'str' objects}
       14    0.000    0.000    0.000    0.000 {method 'join' of 'bytes' objects}
      624    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
  142/137    0.000    0.000    0.001    0.000 css_parser.py:385(_freeze_relations)
        2    0.000    0.000    2.094    1.047 request.py:1305(do_open)
        1    0.000    0.000    0.000    0.000 {function Random.seed at 0x1099308b0}
        1    0.000    0.000    0.047    0.047 css_parser.py:1(<module>)
        1    0.000    0.000    0.005    0.005 socket.py:4(<module>)
       10    0.000    0.000    0.002    0.000 enum.py:475(_create_)
      192    0.000    0.000    0.000    0.000 sre_compile.py:65(_combine_flags)
       12    0.000    0.000    0.000    0.000 datetime.py:492(__new__)
      121    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:351(__init__)
       44    0.000    0.000    0.000    0.000 typing.py:230(_remove_dups_flatten)
      624    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
        1    0.000    0.000    0.001    0.001 financial_enhanced.py:42(<listcomp>)
      146    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:154(_path_isfile)
      201    0.000    0.000    0.000    0.000 typing_extensions.py:182(_should_collect_from_parameters)
      219    0.000    0.000    0.000    0.000 {method 'lstrip' of 'str' objects}
       75    0.000    0.000    0.002    0.000 _htmlparser.py:127(handle_startendtag)
        1    0.000    0.000    0.000    0.000 typing_extensions.py:2489(__init__)
        1    0.000    0.000    0.000    0.000 stringprep.py:2(<module>)
      139    0.000    0.000    0.006    0.000 sre_parse.py:96(closegroup)
       24    0.000    0.000    0.000    0.000 util.py:16(lower)
       15    0.000    0.000    0.000    0.000 message.py:462(get)
    26/10    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
       87    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:523(_check_name_wrapper)
      201    0.000    0.000    0.000    0.000 typing_extensions.py:3165(_is_unpacked_typevartuple)
        1    0.000    0.000    0.000    0.000 threading.py:469(BoundedSemaphore)
      211    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:175(_path_isabs)
      208    0.000    0.000    0.001    0.000 typing.py:128(_type_convert)
      122    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:160(__exit__)
       77    0.000    0.000    0.000    0.000 os.py:674(__getitem__)
    40/31    0.000    0.000    0.007    0.000 css_parser.py:746(parse_pseudo_open)
        2    0.000    0.000    0.101    0.050 client.py:222(parse_headers)
    44/29    0.000    0.000    0.064    0.002 <frozen importlib._bootstrap>:1033(_handle_fromlist)
       69    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
        2    0.000    0.000    0.240    0.120 client.py:921(connect)
       49    0.000    0.000    0.000    0.000 sre_compile.py:432(_generate_overlap_table)
       79    0.000    0.000    0.000    0.000 css_types.py:267(__init__)
      193    0.000    0.000    0.000    0.000 element.py:664(_last_descendant)
        2    0.000    0.000    0.707    0.354 client.py:944(send)
        4    0.000    0.000    0.000    0.000 parse.py:437(urlsplit)
        1    0.000    0.000    0.000    0.000 quoprimime.py:55(<listcomp>)
       55    0.000    0.000    0.000    0.000 feedparser.py:78(readline)
      122    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:152(__init__)
      298    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.lock' objects}
       87    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1077(path_stats)
        1    0.000    0.000    0.002    0.002 __init__.py:17(<module>)
       87    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:35(_new_module)
        6    0.000    0.000    0.000    0.000 feedparser.py:101(push)
  128/126    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
        2    0.000    0.000    0.240    0.120 socket.py:806(create_connection)
        1    0.000    0.000    0.017    0.017 filter.py:163(find_all)
      192    0.000    0.000    0.000    0.000 element.py:553(<listcomp>)
        2    0.000    0.000    1.376    0.688 client.py:1305(getresponse)
      237    0.000    0.000    0.000    0.000 socket.py:78(<lambda>)
      245    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
       41    0.000    0.000    0.000    0.000 typing_extensions.py:3049(_check_generic)
       49    0.000    0.000    0.001    0.000 typing.py:831(copy_with)
        1    0.000    0.000    0.001    0.001 _parseaddr.py:4(<module>)
        1    0.000    0.000    0.000    0.000 request.py:2486(getproxies_environment)
      317    0.000    0.000    0.000    0.000 typing.py:733(<genexpr>)
      238    0.000    0.000    0.000    0.000 socket.py:83(<lambda>)
        1    0.000    0.000    0.002    0.002 random.py:1(<module>)
      239    0.000    0.000    0.000    0.000 socket.py:88(<lambda>)
        1    0.000    0.000    0.039    0.039 request.py:1(<module>)
        1    0.000    0.000    0.107    0.107 element.py:1(<module>)
       20    0.000    0.000    0.000    0.000 typing.py:997(__init_subclass__)
        2    0.000    0.000    0.467    0.233 ssl.py:1302(do_handshake)
      240    0.000    0.000    0.000    0.000 socket.py:93(<lambda>)
  118/100    0.000    0.000    0.000    0.000 typing.py:746(__hash__)
      484    0.000    0.000    0.000    0.000 css_types.py:73(__hash__)
        2    0.000    0.000    0.000    0.000 client.py:246(__init__)
        1    0.000    0.000    0.005    0.005 ssl.py:4(<module>)
        2    0.000    0.000    0.707    0.354 client.py:1416(connect)
       75    0.000    0.000    0.000    0.000 css_types.py:251(__init__)
        1    0.000    0.000    0.005    0.005 shutil.py:1(<module>)
      108    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
    26/24    0.000    0.000    0.023    0.001 <frozen importlib._bootstrap_external>:1171(create_module)
       78    0.000    0.000    0.000    0.000 _collections_abc.py:850(__iter__)
        1    0.000    0.000    0.000    0.000 element.py:352(PageElement)
       11    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1556(_fill_cache)
        1    0.000    0.000    0.001    0.001 datetime.py:1(<module>)
    18/11    0.000    0.000    0.068    0.006 {built-in method builtins.__import__}
       66    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
      179    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
      121    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:736(find_spec)
       11    0.000    0.000    0.000    0.000 _htmlparser.py:226(handle_charref)
        5    0.000    0.000    0.000    0.000 enum.py:1017(_decompose)
       32    0.000    0.000    0.000    0.000 functools.py:517(decorating_function)
        1    0.000    0.000    0.001    0.001 __init__.py:135(BeautifulSoup)
        2    0.000    0.000    0.467    0.234 ssl.py:494(wrap_socket)
       17    0.000    0.000    0.000    0.000 enum.py:618(_find_new_)
       44    0.000    0.000    0.000    0.000 typing.py:216(_deduplicate)
        2    0.000    0.000    0.001    0.001 parser.py:41(parse)
       10    0.000    0.000    0.003    0.000 enum.py:528(_convert_)
       55    0.000    0.000    0.000    0.000 feedparser.py:128(__next__)
       56    0.000    0.000    0.002    0.000 css_parser.py:1106(<listcomp>)
        1    0.000    0.000    0.000    0.000 dammit.py:734(UnicodeDammit)
      2/1    0.000    0.000    2.095    2.095 request.py:498(open)
